perform_prior,quitjob,treatment,costofcommute,children,male,prior_experience,tenure,ageyoungestchild,bedroom,high_school,university,internet
0.084573008,0,1,8,1,0,84,96,10,1,1,0,1
4.50E-04,0,1,18,0,0,0,94,0,0,1,0,1
0.45590964,0,0,10,1,0,0,92,11,1,1,0,1
0.918509781,0,1,20,0,0,0,82,0,1,0,0,1
-0.377443492,0,1,15,1,0,0,82,0,1,0,0,1
0.369980305,0,1,0,0,1,0,79,0,1,1,0,1
-0.040052831,1,0,12,1,0,43,77,5,1,0,0,1
0.655318975,0,0,12,1,0,24,82,3,1,0,0,1
1.409042358,0,0,12,1,0,0,82,2,1,0,0,1
0.270698756,0,0,0,0,0,0,72,0,1,0,0,1
0.001532828,0,0,0,1,0,24,72,11,1,0,0,1
0.450983047,0,1,18,0,0,0,70,0,1,0,0,1
-0.687097669,0,0,9,0,0,0,70,0,1,0,0,1
0.23950015,0,0,6,1,0,36,66,5,1,0,0,1
0.320678741,0,0,0,0,0,0,66,0,0,0,0,1
0.650779307,0,1,4,0,0,0,66,0,1,0,0,1
-0.031765454,0,1,10,0,0,0,65,0,1,0,0,1
-0.718863904,0,0,10,0,0,60,64,0,1,1,0,1
0.076348521,1,0,12,1,0,0,63,8,1,0,0,1
-0.258199155,0,1,0,0,0,0,62,0,0,0,0,1
0.248656303,0,1,0,0,1,6,62,0,1,0,0,1
1.037645459,0,1,5,1,0,0,60,7,1,1,0,1
0.609065831,0,1,4,0,0,24,60,0,1,1,0,1
-0.845071018,0,0,8,1,0,6,59,2,1,0,0,1
0.876527071,0,0,25,0,1,26,59,0,1,1,0,1
0.159845948,0,1,10,0,1,60,57,0,1,0,0,1
-0.89031291,0,0,14,0,1,0,56,0,1,0,0,1
-0.696573436,0,0,0,0,0,73,56,0,1,0,0,1
0.347946048,0,0,10,0,0,0,54,0,1,0,0,1
0.046489317,0,1,0,0,0,0,54,0,1,0,0,1
-0.211108997,0,1,9.090909004,0,1,24,53,0,1,0,0,1
1.474481225,1,1,10,1,1,60,53,4,1,0,0,1
0.342568547,0,0,5,1,1,0,52,2,1,0,0,1
